"","CITY","COUNTY","PIN","YEAR","NUMSTUDS","WHITE","BLACK","DISTRICT","YEAR_LIFTED","region","DISMISSED","PRIVATE"
"1","ABBEVILLE","HENRY COUNTY","00001026","1997",261,258,0,"HENRY COUNTY","2006","COUNTY",1,1
"2","ABBEVILLE","HENRY COUNTY","00001026","2009",157,150,1,"HENRY COUNTY","2006","COUNTY",1,1
"3","ABBEVILLE","HENRY COUNTY","00001026","2007",318,314,0,"HENRY COUNTY","2006","COUNTY",1,1
"4","ABBEVILLE","HENRY COUNTY","00001026","2013",185,176,2,"HENRY COUNTY","2006","COUNTY",1,1
"5","ABBEVILLE","HENRY COUNTY","A1170094","2011",6,1,5,"HENRY COUNTY","2006","COUNTY",1,1
"6","ABBEVILLE","HENRY COUNTY","00001026","2001",219,216,0,"HENRY COUNTY","2006","COUNTY",1,1
"7","ABBEVILLE","HENRY COUNTY","00001026","1995",278,277,0,"HENRY COUNTY","2006","COUNTY",1,1
"8","ABBEVILLE","HENRY COUNTY","00001026","2005",220,217,0,"HENRY COUNTY","2006","COUNTY",1,1
"9","ABBEVILLE","HENRY COUNTY","00001026","1999",236,233,0,"HENRY COUNTY","2006","COUNTY",1,1
"10","ABBEVILLE","HENRY COUNTY","00001026","2003",239,236,0,"HENRY COUNTY","2006","COUNTY",1,1
"11","ABBEVILLE","HENRY COUNTY","00001026","1993",261,260,0,"HENRY COUNTY","2006","COUNTY",1,1
"12","ADAMSVILLE","JEFFERSON COUNTY","A9900031","2003",29,29,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"13","ALABASTER","SHELBY COUNTY","A9302333","1997",60,40,19,"ALABASTER CITY","STILL OPEN","CITY",0,1
"14","ALABASTER","SHELBY COUNTY","01608811","2011",393,339,15,"ALABASTER CITY","STILL OPEN","CITY",0,1
"15","ALABASTER","SHELBY COUNTY","A0770204","2009",12,12,0,"ALABASTER CITY","STILL OPEN","CITY",0,1
"16","ALABASTER","SHELBY COUNTY","A0770204","2007",12,11,0,"ALABASTER CITY","STILL OPEN","CITY",0,1
"17","ALABASTER","SHELBY COUNTY","01608811","2007",431,393,22,"ALABASTER CITY","STILL OPEN","CITY",0,1
"18","ALABASTER","SHELBY COUNTY","01608811","1997",523,488,20,"ALABASTER CITY","STILL OPEN","CITY",0,1
"19","ALABASTER","SHELBY COUNTY","01608811","1995",441,426,10,"ALABASTER CITY","STILL OPEN","CITY",0,1
"20","ALABASTER","SHELBY COUNTY","A9302333","1999",47,35,12,"ALABASTER CITY","STILL OPEN","CITY",0,1
"21","ALABASTER","SHELBY COUNTY","A0770049","2007",252,245,2,"ALABASTER CITY","STILL OPEN","CITY",0,1
"22","ALABASTER","SHELBY COUNTY","A0770204","2011",13,13,0,"ALABASTER CITY","STILL OPEN","CITY",0,1
"23","ALABASTER","SHELBY COUNTY","A0770049","2009",295,292,2,"ALABASTER CITY","STILL OPEN","CITY",0,1
"24","ALABASTER","SHELBY COUNTY","A0770204","2013",12,11,0,"ALABASTER CITY","STILL OPEN","CITY",0,1
"25","ALABASTER","SHELBY COUNTY","A1300009","2013",49,32,13,"ALABASTER CITY","STILL OPEN","CITY",0,1
"26","ALABASTER","SHELBY COUNTY","01608811","2009",413,367,28,"ALABASTER CITY","STILL OPEN","CITY",0,1
"27","ALABASTER","SHELBY COUNTY","A0770049","2011",336,301,2,"ALABASTER CITY","STILL OPEN","CITY",0,1
"28","ALABASTER","SHELBY COUNTY","A9302333","1993",50,42,8,"ALABASTER CITY","STILL OPEN","CITY",0,1
"29","ALABASTER","SHELBY COUNTY","A9302333","2001",55,41,14,"ALABASTER CITY","STILL OPEN","CITY",0,1
"30","ALABASTER","SHELBY COUNTY","01608811","1993",344,332,8,"ALABASTER CITY","STILL OPEN","CITY",0,1
"31","ALABASTER","SHELBY COUNTY","A9302333","1995",52,26,25,"ALABASTER CITY","STILL OPEN","CITY",0,1
"32","ALBERTVILLE","MARSHALL COUNTY","A0700013","2013",168,167,1,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"33","ALBERTVILLE","MARSHALL COUNTY","A0700013","2011",137,130,4,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"34","ALBERTVILLE","MARSHALL COUNTY","A0700013","2009",94,85,0,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"35","ALBERTVILLE","MARSHALL COUNTY","A0700013","2007",40,37,3,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"36","ALEX CITY","TALLAPOOSA COUNTY","AA001585","1997",30,29,1,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"37","ALEXANDER CITY","TALLAPOOSA COUNTY","A0500035","2005",50,48,2,"ALEXANDER CITY","2002","CITY",1,1
"38","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","1993",41,40,1,"ALEXANDER CITY","2002","CITY",1,1
"39","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","2003",29,26,3,"ALEXANDER CITY","2002","CITY",1,1
"40","ALEXANDER CITY","TALLAPOOSA COUNTY","A9900046","2001",58,52,5,"ALEXANDER CITY","2002","CITY",1,1
"41","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","1999",36,33,2,"ALEXANDER CITY","2002","CITY",1,1
"42","ALEXANDER CITY","TALLAPOOSA COUNTY","A9900046","1999",40,38,2,"ALEXANDER CITY","2002","CITY",1,1
"43","ALEXANDER CITY","TALLAPOOSA COUNTY","A0900025","2009",40,39,0,"ALEXANDER CITY","2002","CITY",1,1
"44","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","1995",32,30,2,"ALEXANDER CITY","2002","CITY",1,1
"45","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","2001",36,33,3,"ALEXANDER CITY","2002","CITY",1,1
"46","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","2009",3,3,0,"ALEXANDER CITY","2002","CITY",1,1
"47","ALEXANDER CITY","TALLAPOOSA COUNTY","A0900025","2011",46,40,3,"ALEXANDER CITY","2002","CITY",1,1
"48","ALEXANDER CITY","TALLAPOOSA COUNTY","A0500035","2007",14,14,0,"ALEXANDER CITY","2002","CITY",1,1
"49","ALTOONA","BLOUNT COUNTY","A0300032","2009",7,6,1,"BLOUNT COUNTY","2005","COUNTY",1,1
"50","ALTOONA","BLOUNT COUNTY","A0300032","2005",31,31,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"51","ALTOONA","BLOUNT COUNTY","A0300032","2007",6,6,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"52","ALTOONA","ETOWAH COUNTY","BB130004","2013",8,8,0,"ETOWAH COUNTY","2007","COUNTY",1,1
"53","ANDALUSIA","COVINGTON COUNTY","A0500010","2005",5,5,0,"COVINGTON COUNTY","2006","COUNTY",1,1
"54","ANDALUSIA","COVINGTON COUNTY","A0500010","2007",6,6,0,"COVINGTON COUNTY","2006","COUNTY",1,1
"55","ANDALUSIA","COVINGTON COUNTY","A0500010","2009",9,9,0,"COVINGTON COUNTY","2006","COUNTY",1,1
"56","ANDALUSIA","COVINGTON COUNTY","A0900040","2009",85,78,5,"COVINGTON COUNTY","2006","COUNTY",1,1
"57","ANDALUSIA","COVINGTON COUNTY","A0900040","2011",5,4,1,"COVINGTON COUNTY","2006","COUNTY",1,1
"58","ANNISTON","CALHOUN COUNTY","00001332","2011",358,311,10,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"59","ANNISTON","CALHOUN COUNTY","A9100130","1995",193,163,10,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"60","ANNISTON","CALHOUN COUNTY","00001332","2003",344,260,35,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"61","ANNISTON","CALHOUN COUNTY","00001332","2005",339,295,15,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"62","ANNISTON","CALHOUN COUNTY","A9100130","2005",340,299,29,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"63","ANNISTON","CALHOUN COUNTY","00000306","1995",167,147,14,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"64","ANNISTON","CALHOUN COUNTY","A9703761","2003",25,3,21,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"65","ANNISTON","CALHOUN COUNTY","A9100130","1999",311,295,7,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"66","ANNISTON","CALHOUN COUNTY","00001332","2013",327,286,9,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"67","ANNISTON","CALHOUN COUNTY","A9100130","1997",248,240,4,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"68","ANNISTON","CALHOUN COUNTY","A9100130","2013",329,306,19,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"69","ANNISTON","CALHOUN COUNTY","00001332","1997",506,483,6,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"70","ANNISTON","CALHOUN COUNTY","A0100109","2003",34,32,0,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"71","ANNISTON","CALHOUN COUNTY","A9703721","1997",13,11,2,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"72","ANNISTON","CALHOUN COUNTY","A9100130","2011",276,252,7,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"73","ANNISTON","CALHOUN COUNTY","A0100109","2009",47,39,7,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"74","ANNISTON","CALHOUN COUNTY","A0100109","2005",44,35,9,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"75","ANNISTON","CALHOUN COUNTY","A0100388","2003",34,18,16,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"76","ANNISTON","CALHOUN COUNTY","A0100109","2001",29,29,0,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"77","ANNISTON","CALHOUN COUNTY","A0100383","2001",3,3,0,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"78","ANNISTON","CALHOUN COUNTY","A9100130","2001",328,312,7,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"79","ANNISTON","CALHOUN COUNTY","00000306","1997",159,136,18,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"80","ANNISTON","CALHOUN COUNTY","00001332","2007",377,337,11,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"81","ANNISTON","CALHOUN COUNTY","A9100130","1993",125,115,9,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"82","ANNISTON","CALHOUN COUNTY","00000306","1993",182,145,28,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"83","ANNISTON","CALHOUN COUNTY","00001332","1995",525,487,14,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"84","ANNISTON","CALHOUN COUNTY","A0100413","2001",10,7,3,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
