"","PIN","CITY","STATE","ZIP","RELIGIOUS","NUMSTUDS","STTCH_RT","HIGR","SCHOOL","ADDRESS","COUNTY","P_MINOR","YR","P_INDIAN","P_ASIAN","P_HISP","P_BLACK","P_WHITE","MALES","PCT_4YEAR","PCT_2YEAR","LATITUDE","LONGITUDE","P_PACIFIC","P_TR","data.notes"
"1","00000044","TUSCALOOSA","AL","35405",1,261,18,8,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",NA,"1989",NA,NA,NA,NA,NA,NA,NA,NA,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"2","00000044","TUSCALOOSA","AL","35405",1,259,18.1754385965,8,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"3","00000044","TUSCALOOSA","AL","35405",1,272,18.92173913,8,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",23.161764706,"1993",0,6.9852941176,1.1029411765,15.073529412,76.838235294,NA,NA,NA,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"4","00000044","TUSCALOOSA","AL","35405",1,330,24.220183486,9,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",3,"1995",0,3.3333333333,2.4242424242,14.545454546,79.696969697,NA,NA,NA,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"5","00000044","TUSCALOOSA","AL","35405",1,526,12.987654321,16,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",16.730038023,"1997",0.3802281369,1.711026616,1.711026616,12.927756654,83.269961977,308,NA,NA,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"6","00000044","TUSCALOOSA","AL","35405",1,587,24.978723404,17,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",16.183986371,"1999",0.3407155026,1.8739352641,3.2367972743,10.73253833,83.816013629,303,NA,NA,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"7","00000044","TUSCALOOSA","AL","35405",1,552,14.52631579,17,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",8.6956521739,"2001",0.5434782609,0,3.6231884058,4.5289855072,91.304347826,285,95,3,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"8","00000044","TUSCALOOSA","AL","35405",1,555,15.4166666666667,17,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",10.6306306306306,"2003",0,0.720720720720721,3.96396396396396,5.94594594594595,89.3693693693694,278,77,23,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"9","00000044","TUSCALOOSA","AL","35405",1,359,15.6086956521739,11,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",15.8774373259053,"2005",0,3.62116991643454,4.73537604456825,7.52089136490251,84.1225626740947,160,NA,NA,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"10","00000044","TUSCALOOSA","AL","35405",1,593,14.825,17,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",15.177065767285,"2007",0,1.68634064080944,3.37268128161889,10.1180438448567,84.822934232715,295,77,NA,33.173709,-87.529118,NA,NA,"Multiple Lat and Long"
"11","00000044","TUSCALOOSA","AL","35405",1,546,13.3823529411765,17,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",NA,"2009",0.183150183150183,1.83150183150183,2.74725274725275,9.70695970695971,81.3186813186813,240,95,NA,33.173709,-87.529118,0,4.21245421245421,"Multiple Lat and Long"
"12","00000044","TUSCALOOSA","AL","35405",1,245,10.040983607,17,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",NA,"2011",0.8163265306,1.6326530612,2.0408163265,13.87755102,78.367346939,116,85,NA,33.173709,-87.529118,0,3.2653061224,"Multiple Lat and Long"
"13","00000044","TUSCALOOSA","AL","35405",1,245,9.83935742971888,17,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",NA,"2013",0,1.63265306122449,4.08163265306122,10.6122448979592,81.6326530612245,110,92,NA,33.173709,-87.529118,0.408163265306122,1.63265306122449,"Multiple Lat and Long"
"14","00000044","TUSCALOOSA","AL","35405",1,229,12.3783783783784,17,"HOLY SPIRIT CATHOLIC SCHOOL","601 JAMES I HARRISON JR PKWY E","Tuscaloosa",NA,"2015",0,2.62008733624454,8.73362445414847,12.6637554585153,71.17903930131,112,97,NA,33.173709,-87.529118,0.436681222707424,4.36681222707424,"Multiple Lat and Long"
"15","00000055","HUNTSVILLE","AL","35805",1,128,8.0629882813,8,"HOLY FAMILY PAROCHIAL SCHOOL","2300 BEASLEY AVE NW","Madison",NA,"1989",NA,NA,NA,NA,NA,NA,NA,NA,34.73449,-86.603421,NA,NA,"changed locations"
"16","00000055","HUNTSVILLE","AL","35816",1,231,16.3539823009,8,"HOLY FAMILY PAROCHIAL SCHOOL","2300 BEASLEY AVE NW","Madison",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,34.73449,-86.603421,NA,NA,"changed locations"
"17","00000055","HUNTSVILLE","AL","35816",1,275,19.642857143,8,"HOLY FAMILY PAROCHIAL SCHOOL","2300 BEASLEY AVE NW","Madison",37.454545455,"1993",0,5.0909090909,2.5454545455,29.818181818,62.545454546,NA,NA,NA,34.73449,-86.603421,NA,NA,"changed locations"
"18","00000055","HUNTSVILLE","AL","35816",1,268,17.719008265,8,"HOLY FAMILY PAROCHIAL SCHOOL","2300 BEASLEY AVE NW","Madison",4,"1995",0,8.5820895522,1.8656716418,25.746268657,63.805970149,NA,NA,NA,34.73449,-86.603421,NA,NA,"changed locations"
"19","00000055","HUNTSVILLE","AL","35816",1,200,14.678899083,13,"HOLY FAMILY PAROCHIAL SCHOOL","2300 BEASLEY AVE NW","Madison",43,"1997",1.5,1,3.5,37,57,91,NA,NA,34.73449,-86.603421,NA,NA,"changed locations"
